\textexclamdown,¡
\varperspcorrespond,⌆
\lceil,⌈
\rceil,⌉
\lfloor,⌊
\rfloor,⌋
\recorder,⌕
\mathchar\"2208,⌖
\ulcorner,⌜
\urcorner,⌝
\llcorner,⌞
\lrcorner,⌟
\frown,⌢
\smile,⌣
\ElsevierGlyph{E838},⌽
\Elzdlcorn,⎣
\lmoustache,⎰
\rmoustache,⎱
\textvisiblespace,␣
\ding{172},①
\ding{173},②
\ding{174},③
\ding{175},④
\ding{176},⑤
\ding{177},⑥
\ding{178},⑦
\ding{179},⑧
\ding{180},⑨
\ding{181},⑩
\circledS,Ⓢ
\Elzdshfnc,┆
\Elzsqfnw,┙
\diagup,╱
\ding{110},■
\square,□
\blacksquare,▪
\fbox{~~},▭
\Elzvrecto,▯
\ElsevierGlyph{E381},▱
\ding{115},▲
\bigtriangleup,△
\blacktriangle,▴
\vartriangle,▵
\blacktriangleright,▸
\triangleright,▹
\ding{116},▼
\bigtriangledown,▽
\blacktriangledown,▾
\triangledown,▿
\blacktriangleleft,◂
\triangleleft,◃
\ding{117},◆
\lozenge,◊
\bigcirc,○
\ding{108},●
\Elzcirfl,◐
\Elzcirfr,◑
\Elzcirfb,◒
\ding{119},◗
\Elzrvbull,◘
\Elzsqfl,◧
\Elzsqfr,◨
\Elzsqfse,◪
\ding{72},★
\ding{73},☆
\ding{37},☎
\ding{42},☛
\ding{43},☞
\rightmoon,☾
\mercury,☿
\venus,♀
\male,♂
\jupiter,♃
\saturn,♄
\uranus,♅
\neptune,♆
\pluto,♇
\aries,♈
\taurus,♉
\gemini,♊
\cancer,♋
\leo,♌
\virgo,♍
\libra,♎
\scorpio,♏
\sagittarius,♐
\capricornus,♑
\aquarius,♒
\pisces,♓
\ding{171},♠
\ding{168},♣
\ding{170},♥
\ding{169},♦
\quarternote,♩
\eighthnote,♪
\flat,♭
\natural,♮
\sharp,♯
\ding{33},✁
\ding{34},✂
\ding{35},✃
\ding{36},✄
\ding{38},✆
\ding{39},✇
\ding{40},✈
\ding{41},✉
\ding{44},✌
\ding{45},✍
\ding{46},✎
\ding{47},✏
\ding{48},✐
\ding{49},✑
\ding{50},✒
\ding{51},✓
\ding{52},✔
\ding{53},✕
\ding{54},✖
\ding{55},✗
\ding{56},✘
\ding{57},✙
\ding{58},✚
\ding{59},✛
\ding{60},✜
\ding{61},✝
\ding{62},✞
\ding{63},✟
\ding{64},✠
\ding{65},✡
\ding{66},✢
\ding{67},✣
\ding{68},✤
\ding{69},✥
\ding{70},✦
\ding{71},✧
\ding{74},✪
\ding{75},✫
\ding{76},✬
\ding{77},✭
\ding{78},✮
\ding{79},✯
\ding{80},✰
\ding{81},✱
\ding{82},✲
\ding{83},✳
\ding{84},✴
\ding{85},✵
\ding{86},✶
\ding{87},✷
\ding{88},✸
\ding{89},✹
\ding{90},✺
\ding{91},✻
\ding{92},✼
\ding{93},✽
\ding{94},✾
\ding{95},✿
\ding{96},❀
\ding{97},❁
\ding{98},❂
\ding{99},❃
\ding{100},❄
\ding{101},❅
\ding{102},❆
\ding{103},❇
\ding{104},❈
\ding{105},❉
\ding{106},❊
\ding{107},❋
\ding{109},❍
\ding{111},❏
\ding{112},❐
\ding{113},❑
\ding{114},❒
\ding{118},❖
\ding{120},❘
\ding{121},❙
\ding{122},❚
\ding{123},❛
\ding{124},❜
\ding{125},❝
\ding{126},❞
\ding{161},❡
\ding{162},❢
\ding{163},❣
\ding{164},❤
\ding{165},❥
\ding{166},❦
\ding{167},❧
\ding{182},❶
\ding{183},❷
\ding{184},❸
\ding{185},❹
\ding{186},❺
\ding{187},❻
\ding{188},❼
\ding{189},❽
\ding{190},❾
\ding{191},❿
\ding{192},➀
\ding{193},➁
\ding{194},➂
\ding{195},➃
\ding{196},➄
\ding{197},➅
\ding{198},➆
\ding{199},➇
\ding{200},➈
\ding{201},➉
\ding{202},➊
\ding{203},➋
\ding{204},➌
\ding{205},➍
\ding{206},➎
\ding{207},➏
\ding{208},➐
\ding{209},➑
\ding{210},➒
\ding{211},➓
\ding{212},➔
\ding{216},➘
\ding{217},➙
\ding{218},➚
\ding{219},➛
\ding{220},➜
\ding{221},➝
\ding{222},➞
\ding{223},➟
\ding{224},➠
\ding{225},➡
\ding{226},➢
\ding{227},➣
\ding{228},➤
\ding{229},➥
\ding{230},➦
\ding{231},➧
\ding{232},➨
\ding{233},➩
\ding{234},➪
\ding{235},➫
\ding{236},➬
\ding{237},➭
\ding{238},➮
